"DateTime","Final price","Historical low"
"2021-09-30 13:55:12",59.99,59.99
"2022-03-14 17:40:17",39.59,39.59
"2022-03-21 17:23:23",59.99,39.59
"2022-04-27 17:02:50",29.99,29.99
"2022-05-03 23:45:02",0,
"2022-05-04 04:20:02",29.99,29.99
"2022-05-11 17:02:49",59.99,29.99
"2022-06-13 17:23:27",30.59,29.99
"2022-07-07 17:28:52",59.99,29.99
"2022-08-03 17:02:31",30.59,29.99
"2022-08-16 17:02:40",59.99,29.99
"2022-09-19 17:23:27",29.99,29.99
"2022-10-02 17:02:32",59.99,29.99
"2022-10-12 07:01:03",39.99,29.99
"2022-11-10 18:02:49",19.99,19.99
"2022-11-29 18:25:19",39.99,19.99
"2022-12-22 18:31:37",19.99,19.99
"2022-12-22 18:32:28",19.99,19.99
"2023-01-05 18:29:31",39.99,19.99
"2023-03-03 18:02:47",19.99,19.99
"2023-03-23 17:25:18",39.99,19.99
"2023-04-17 17:23:19",39.59,19.99
"2023-04-24 17:23:48",19.99,19.99
"2023-05-07 17:02:58",39.99,19.99
"2023-06-06 17:03:02",19.99,19.99
"2023-06-20 17:02:57",39.99,19.99
"2023-06-29 17:20:01",15.99,15.99
"2023-07-13 17:25:38",39.99,15.99
"2023-07-24 17:23:42",15.99,15.99
"2023-08-07 17:23:38",39.99,15.99
"2023-09-11 17:23:30",15.99,15.99
"2023-09-25 17:23:34",39.99,15.99
"2023-10-25 17:02:28",15.99,15.99
"2023-11-07 17:05:05",39.99,15.99
"2023-11-21 18:14:41",15.99,15.99
"2023-11-28 18:31:23",39.99,15.99
"2023-12-07 18:03:05",15.99,15.99
"2024-01-04 18:33:06",39.99,15.99
"2024-01-24 18:02:24",15.99,15.99
"2024-01-30 18:02:25",39.99,15.99
"2024-02-29 18:02:36",15.99,15.99
"2024-03-21 17:31:27",39.99,15.99
"2024-04-15 17:23:48",9.99,9.99
"2024-04-29 17:23:32",39.99,9.99
"2024-05-29 17:02:57",9.99,9.99
"2024-06-12 17:02:36",39.99,9.99
"2024-06-27 17:54:35",9.99,9.99
"2024-07-11 17:31:08",39.99,9.99
"2024-08-12 17:23:47",9.99,9.99
"2024-08-25 17:02:28",39.99,9.99
"2024-09-24 17:02:39",9.99,9.99
"2024-10-08 17:02:22",39.99,9.99
"2024-11-07 18:02:07",9.99,9.99
"2024-11-21 18:02:25",39.99,9.99
"2024-11-27 18:27:41",9.99,9.99
"2024-12-04 18:31:23",39.99,9.99
"2024-12-08 02:24:33",39.99,9.99
"2024-12-08 02:24:33",,9.99